code,families,non_families
00601,20889,11864
00602,27987,14461
00603,31688,18555
00606,18626,10245
00610,30554,15150
00612,29950,14004
00616,28341,9210
00617,25299,15507
00622,39098,14774
00623,27992,14458
00624,26764,16333
00627,31082,14102
00631,19540,12348
00637,28645,15670
00638,23787,14190
00641,25483,12370
00646,54832,24339
00647,19043,12006
00650,26727,15057
00652,30902,17576
00653,21928,10992
00656,25431,14503
00659,32589,14368
00660,31294,20522
00662,26620,16805
00664,22787,8805
00667,21653,13846
00669,25711,11561
00670,23438,10940
00674,31951,14038
00676,27330,10938
00677,31076,21867
00678,27592,15365
00680,30368,13596
00682,35681,14387
00683,28307,17154
00685,25447,12012
00687,29301,14754
00688,25444,13680
00690,27031,23262
00692,35812,25615
00693,31786,15875
00694,31786,15875
00698,26605,12814
00703,29824,13822
00704,20777,14156
00705,30683,13979
00707,28245,17687
00714,24023,14642
00715,21674,11128
00716,39183,24949
00717,28320,14811
00718,26404,19841
00719,29388,13471
00720,22395,12748
00723,27520,13352
00725,36399,21907
00727,48746,29903
00728,29521,16430
00729,36296,15792
00730,31726,19514
00731,32969,13393
00735,33028,26419
00736,34183,17393
00738,33759,17947
00739,33651,17507
00740,16296,15650
00741,28204,16455
00745,33837,18974
00751,26787,15087
00754,31059,17006
00757,32374,14502
00765,27169,15815
00766,33910,14877
00767,26976,13117
00769,32261,14264
00771,32448,19369
00772,24158,11727
00773,31720,18690
00775,33248,17772
00777,27084,19746
00778,53411,34488
00780,45419,21342
00782,20259,10923
00783,23922,10528
00784,29177,15315
00786,32691,15315
00791,36737,15317
00794,24810,14483
00795,31827,17619
00901,97601,42309
00906,60218,106349
00907,98565,45940
00909,33235,25186
00911,73456,39462
00912,35946,36475
00913,17395,18931
00915,26092,13564
00917,38256,18385
00918,53173,31362
00920,41301,22794
00921,32454,24993
00923,30407,16236
00924,37731,19547
00925,36305,16045
00926,67734,37101
00927,70235,30090
00934,70235,30090
00936,70235,30090
00949,39978,22412
00950,39978,22412
00951,39978,22412
00952,23920,12316
00953,45874,22799
00956,34752,18544
00957,37273,23240
00959,44609,27430
00960,44609,27430
00961,49953,26123
00962,29374,14952
00965,32889,11663
00966,110609,40289
00968,127367,39538
00969,87109,48487
00971,42327,20213
00976,50314,21417
00979,75041,46345
00982,36539,21000
00983,37703,21354
00985,37755,22284
00987,47951,27391
01001,97284,51960
01002,122301,47747
01003,122301,47747
01005,114318,56790
01007,125694,76254
01008,93173,57248
01009,93173,101038
01010,112217,57117
01011,87904,51686
01012,96075,50971
01013,64983,38169
01020,80149,47791
01022,63118,44695
01026,73571,53312
01027,100689,51566
01028,122401,56052
01029,86383,72035
01030,108962,48756
01031,89188,24539
01032,93087,47129
01033,125520,61967
01034,106405,63721
01035,118967,55231
01036,123543,44794
01037,121811,65457
01038,97394,55777
01039,132666,50060
01040,65515,44105
01050,85941,52391
01053,108667,52422
01054,142750,57598
01056,97494,48901
01057,111128,52382
01060,123664,56507
01062,117903,50074
01063,117903,50074
01066,117903,50074
01068,107721,57511
01069,97016,44210
01070,79689,54690
01071,92090,53582
01072,102370,61794
01073,147386,49831
01074,54587,49831
01075,100355,52396
01077,113531,45696
01079,66443,48127
01080,72983,57315
01081,81328,38788
01082,81449,43059
01083,94205,34783
01084,127697,37606
01085,99405,48760
01086,99405,48760
01088,74492,39400
01089,90690,46855
01092,85534,84043
01093,123695,150169
01094,58127,40146
01095,145308,68529
01096,112648,68665
01097,112648,68665
01098,114218,56255
01103,35737,36993
01104,56815,35596
01105,35456,22748
01106,176285,67265
01107,46448,30033
01108,61315,36039
01109,52499,29472
01118,82244,62574
01119,67712,44796
01128,99631,43321
01129,85087,41870
01151,50679,40648
01199,50679,40648
01201,84792,42046
01220,80689,40369
01222,79330,62184
01223,105904,59805
01224,39049,59805
01225,87479,54654
01226,104794,46077
01229,104794,13937
01230,109312,54752
01235,95837,53273
01236,123928,52396
01237,109238,47273
01238,100174,59936
01240,132254,74457
01242,82906,59500
01243,121557,45659
01244,84927,45659
01245,148018,62429
01247,73536,36821
01253,117650,61123
01254,154859,95325
01255,104599,74597
01256,80290,49224
01257,121438,102940
01258,99272,62524
01259,137317,70526
01260,111352,36366
01262,124334,36527
01264,156463,62009
01266,121902,57070
01267,137061,57436
01270,116212,97734
01301,85183,42038
01330,116462,60200
01331,79048,44158
01337,91790,62730
01338,59363,62730
01339,81530,52844
01340,84328,43709
01341,154978,57795
01342,110612,63451
01343,102073,15100
01344,78312,50375
01346,91571,44147
01347,61364,60293
01349,78187,52626
01350,40600,42246
01351,104165,52043
01354,96942,56907
01355,90238,68593
01360,106439,50867
01364,77699,35819
01366,97884,65300
01367,81611,40290
01368,90405,63138
01370,113454,42783
01373,124629,59034
01375,90464,78043
01376,73391,43425
01378,82378,42330
01379,93165,39347
01420,79197,46474
01430,123781,63098
01431,112212,86111
01432,126205,64980
01434,130034,52034
01436,83426,71639
01438,111474,71639
01440,75099,47715
