zipcode,population_2,density
601,17126,102.6
602,37895,482.5
603,49136,552.4
606,5751,50.1
610,26153,272.1
611,1283,46.5
612,64090,325
616,10186,361.3
617,22803,479.7
622,7751,96
623,39652,390.6
624,21912,180.2
627,32885,273.8
631,1098,135.6
636,1174,1236
637,23016,252.7
638,17689,95.7
641,24915,114.4
646,36142,662.9
647,5198,126.9
650,14301,174.1
652,3193,191.4
653,9099,159.1
656,18633,170.7
659,37525,352.9
660,15630,533.2
662,40503,378.9
664,15132,124.5
667,23665,151.8
669,27763,167.2
670,8744,72.6
674,39569,351.6
676,36849,291.2
677,15225,403.5
678,25763,341.4
680,43070,258.6
682,31816,753.2
683,29664,232.4
685,40169,197.1
687,29069,288.7
688,11552,137.2
690,6217,1061.6
692,33646,489.7
693,56146,488.1
694,86,41.6
698,34016,209.6
703,25001,311.2
704,7179,308.1
705,24414,310
707,10615,195.9
714,16183,416.5
715,2012,61.1
716,27746,1235.9
717,14568,2370.5
718,23412,191.5
719,29555,404.5
720,20717,142.5
723,16265,136.5
725,79153,738.8
727,52829,904
728,39669,994.7
729,48227,520.8
730,33251,1934.2
731,11131,87.8
735,11621,163.9
736,46167,324.7
738,30468,397.2
739,35105,440.4
740,2020,1868
741,3899,661.3
745,48282,306.9
751,19768,125.7
754,37012,285.8
757,20366,242.4
765,8317,68
766,22416,226.7
767,31450,220.1
769,35126,176
771,34882,400.8
772,18148,428.7
773,17917,287
775,1293,42.9
777,38267,550.2
778,41026,536.5
780,12975,261.8
782,18664,257.6
783,34329,314.7
784,36965,213.8
786,151,33.1
791,47335,428.7
794,28432,319.9
795,44055,284.7
802,0,0
820,0,0
830,0,0
840,0,0
850,0,0
851,0,0
901,8098,3081.3
906,171,20734.8
907,16620,3140.8
909,5007,2961.1
911,7347,5961
912,6233,6489.4
913,7460,8890.6
915,25585,7047.2
917,18504,5233
918,15393,2203
920,17249,1845
921,32958,4146.6
923,25915,4978
924,48016,3975.6
925,6128,5308.4
926,94560,1572.8
927,13662,2177.1
934,124,33.8
949,69785,1309.2
950,0,0
951,376,135.5
952,7727,1345.6
953,67606,978.1
956,64939,914.4
957,41162,3661.1
959,47783,3027.9
960,3380,930.5
961,30842,2232.9
962,20066,1608.7
965,5392,2299.9
966,15737,2411.1
968,3683,3119.1
969,42144,3229.8
971,27048,651.6
976,61869,1370.1
979,17313,1719
982,14151,3787.2
983,32747,2925.9
985,32261,1348.8
987,54950,818.2
1001,16088,550.1
1002,27323,198.1
1003,13711,6583.4
1005,4947,44.2
1007,15304,107.7
1008,1171,7.4
1009,800,442.8
1010,3703,40.6
1011,1332,15.7
1012,503,16.1
1013,22709,1549.1
1020,30704,951.4
1022,2235,179.2
1026,1071,14.7
1027,17708,168.5
1028,16386,489.6
1029,511,19.8
1030,12627,405.3
